    Swanny McSwanface
    Sir Swanson
    Princess Penelope Puddlefoot
    Count Quackers
    Miss Waddles
    Baroness Beak-a-lot
    Captain Splash
    Duchess Dabbling
    King Quack-a-doodle
    Queen Quiverwing
    Sir Swishalot
    Lady Longneck
    Sir Shakes-a-lot
    Duchess Dillydally
    Lady Lagoon
    Queenie Quack
    Duke Dabblesworth
    Miss Splashy
    Lord Luffing
    Duchess Diving
    Sir Squirt
    Lady Lilywhite
    Countess Cozy
    Baron Beaky
    Lady Lovable
    Mr. and Mrs. Paddlefeather
    King Kicky
    Lady Lakebottom
    Duke Danglefoot
    Princess Paddles
    Sir Splash-a-lot
    Lady Lively
    Baroness Bubbles
    King Kooky
    Queen Quaint
    Duke Driftwood
    Miss Majestic
    Lady Lucky
    Sir Swirl
    Princess Paddlefoot
    Baron Birdbrain
    Lady Luscious
    King Krazy
    Queen Quacktastic
    Duke Daring
    Miss Magnificent
    Lord Lovable
    Duchess Delightful
    Sir Streamline
    Lady Lavender
